Feature,RF_Rank,ET_Rank,MI_Rank,Average_Rank
Feet,1,1,1,1.0
Skin,2,3,4,3.0
Shoulders,6,7,3,5.333333333333333
Legs,3,2,12,5.666666666666667
Arms,8,6,5,6.333333333333333
Cheeks,5,5,9,6.333333333333333
Neck,9,4,8,7.0
Jawline,4,8,10,7.333333333333333
Ears,7,10,6,7.666666666666667
Hands,10,9,11,10.0
Tongue,18,12,2,10.666666666666666
Hair,13,13,7,11.0
Facial Structure,11,11,15,12.333333333333334
Eyes,14,14,13,13.666666666666666
Chest,15,15,14,14.666666666666666
Nose,12,16,18,15.333333333333334
Lips,16,18,16,16.666666666666668
Nails,17,17,17,17.0
